"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Lohoff biorXiv processed counts (sample 1)","Processed counts for sample 1 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/counts-processed-sample1.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","counts.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv processed counts (sample 2)","Processed counts for sample 2 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/counts-processed-sample2.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","counts.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv processed counts (sample 3)","Processed counts for sample 3 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/counts-processed-sample3.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","counts.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv rowData","Per-gene metadata for all samples for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/rowdata.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","counts.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv colData (sample 1)","Per-cell metadata for sample 1 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/coldata-sample1.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","metadata.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv colData (sample 2)","Per-cell metadata for sample 2 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/coldata-sample2.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","metadata.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv colData (sample 3)","Per-cell metadata for sample 3 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/coldata-sample3.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","metadata.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv size factors (sample 1)","Size factors for sample 1 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/sizefac-sample1.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","sizeFactors.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv size factors (sample 2)","Size factors for sample 2 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/sizefac-sample2.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","sizeFactors.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"Lohoff biorXiv size factors (sample 3)","Size factors for sample 3 for the E8.5 seqFISH dataset from biorXiv","MouseGastrulationData/lohoff_seqfish_biorxiv/1.6.0/sizefac-sample3.rds","3.13","mm10","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","sizeFactors.Rds","Mus musculus","10090",FALSE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
